Parent Company,CCaaS,Annual Revenue,Target Account,Associated Contact,Number of Form Submissions,Total Agents,Web Technologies,Close Date_x,# of Agents Total,Number of times contacted,Contact with Primary Company,ICP Fit Level,Revenue range,# of Agents Contracted,Record ID_x,Time Zone,Primary Industry,Number of Pageviews,Primary Company,Year Founded,ICP,Industry group,Segmentation,LMS System,SymTrain Use Cases,Associated Company_x,BPO,SSO Application,State/Region,SymTrain Product,Contract End Date_x,SSO Implemented?,Consolidated Industry,Type,Number of Employees,BPO Program,Primary Sub-Industry,Number of Sessions,WFM,Country/Region,Industry,Create Date_x,Company name,Last Modified Date_x,BPO Program Tier,Create_Year_x,Create_Month_x,Create_Quarter_x,Create_YearMonth,Industry_Standardized,Company_Size_Category,Revenue_Category,Region,Technology_Count,Uses_Google_Tag_Manager,Is_BPO,Weighted amount,Deal Description,"Cumulative time in ""BANT Deal. Pain ID'ed (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Opportunity (Sales Pipeline)"" (HH:mm:ss)",Days to close,Deal Score,Close Date_y,Deal source attribution 2,"Cumulative time in ""In Trial - Trial in Progress (Sales Pipeline)"" (HH:mm:ss)",Contract Start Date,"Cumulative time in ""Partner Referrals  (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Closed Lost (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Deep Dive. PSP Drafted (Sales Pipeline)"" (HH:mm:ss)",Pipeline,Record ID_y,Forecast category,Original Traffic Source,Associated Company_y,Deal owner,Annual contract value,Is Closed (numeric),Amount in company currency,Annual recurring revenue,Monthly recurring revenue,Deal probability,Associated Company (Primary),Is Closed Won,Forecast probability,Contract End Date_y,Last Activity Date,Contract Term (Months),Trial Start date,Is closed lost,Weighted amount in company currency,Is Deal Closed?,Trial End Date,Deal Name,Amount,"Cumulative time in ""Closed Trial (Sales Pipeline)"" (HH:mm:ss)",Forecast amount,"Cumulative time in ""Negotiation (Sales Pipeline)"" (HH:mm:ss)",Is Open (numeric),"Cumulative time in ""Renewals  (Sales Pipeline)"" (HH:mm:ss)",Create Date_y,"Cumulative time in ""Contract Sent (Sales Pipeline)"" (HH:mm:ss)",Total contract value,Last Modified Date_y,"Cumulative time in ""Closed Won (Sales Pipeline)"" (HH:mm:ss)",Deal Stage,Deal Type,Create_Year_y,Create_Month_y,Create_Quarter_y,Close_Year,Close_Month,YearMonth,Deal_Size_Category,comp_id,Target_Won
,,10000000000.0,,Contact_d939d300,0.0,,Google Tag Manager; Akamai DNS; Sendgrid; Mailgun; Tealium; Salesforce; Qualtrics; Microsoft Office 365; App Nexus,,,16.0,Company_d939d300,Tier 3: Long Tail,,,17747228501,America/Phoenix,,0.0,,1995.0,,,,,,,,,AZ,,,,Travel and Hospitality,,500.0,,,0.0,,United States,Hospitality,2023-10-20 09:13:00,Company_4095fc5b,2025-02-14 13:39,,2023,10,4,2023-10,Hospitality,Unknown,>$100M,North America,9,1,0,0.0,Training and coaching for 100 agents,183:48:28,,201.0,,2024-05-21 00:48:00,Event,,,,,,Sales Pipeline,15884117814,Not forecasted,Offline Sources,Associated_4095fc5b,Deal_3d3dc242,,1.0,24000.0,,,0.0,Associated_4095fc5b,False,,,2024-09-03 08:50,,,True,0.0,True,,Deal_4095fc5b,24000.0,,24000.0,3349:31:46,0.0,,2023-11-01 17:40:00,1297:46:57,,2024-09-03 08:50,,Closed Lost,New,2023,11,4,2024.0,5.0,2023-11,Small,17747228501,0
,,50000000.0,,Contact_da7ee71b,0.0,,Microsoft Exchange Online; Microsoft Office 365; Apache; Wordpress; Google Tag Manager; Recaptcha; Facebook Connect; Godaddy Nameserver; Outlook,2023-11-15 14:53,40.0,52.0,Company_da7ee71b,Tier 3: Long Tail,,20.0,17734791853,America/New_York,,39.0,,2007.0,,,,,,,,,NY,,2024-12-01,,Travel and Hospitality,Customer,200.0,,,6.0,,United States,Hospitality,2023-10-19 14:29:00,Company_e4b883e0,2025-02-20 14:48,,2023,10,4,2023-10,Hospitality,Unknown,$50M-$100M,North America,9,1,0,7200.0,Renewal,,,132.0,,2024-11-19 12:41:00,Other,,,,,,Sales Pipeline,20634942017,Closed won,Offline Sources,Associated_e4b883e0,Deal_3cf008ff,,1.0,7200.0,,,1.0,Associated_e4b883e0,True,,,2024-11-08 14:00,,,False,7200.0,True,,Deal_a8ad29d5,7200.0,,7200.0,,0.0,3834:30:26,2024-07-09 13:56:00,,,2024-12-17 12:41,,Closed Won,Renewal,2024,7,3,2024.0,11.0,2024-07,Medium,17734791853,1
,,50000000.0,,Contact_da7ee71b,0.0,,Microsoft Exchange Online; Microsoft Office 365; Apache; Wordpress; Google Tag Manager; Recaptcha; Facebook Connect; Godaddy Nameserver; Outlook,2023-11-15 14:53,40.0,52.0,Company_da7ee71b,Tier 3: Long Tail,,20.0,17734791853,America/New_York,,39.0,,2007.0,,,,,,,,,NY,,2024-12-01,,Travel and Hospitality,Customer,200.0,,,6.0,,United States,Hospitality,2023-10-19 14:29:00,Company_e4b883e0,2025-02-20 14:48,,2023,10,4,2023-10,Hospitality,Unknown,$50M-$100M,North America,9,1,0,7200.0,BPO,264:34:49,,23.0,,2023-11-15 14:53:00,Event,,2023-11-01,,,123:32:49,Sales Pipeline,15754783784,Closed won,Offline Sources,Associated_e4b883e0,Deal_47b81376,,1.0,7200.0,,,1.0,Associated_e4b883e0,True,,2024-12-01,2024-04-02 12:03,12.0,,False,7200.0,True,,Deal_e4b883e0,7200.0,,7200.0,169:23:51,0.0,,2023-10-23 10:21:00,,,2024-11-06 16:40,,Closed Won,New,2023,10,4,2023.0,11.0,2023-10,Medium,17734791853,1
,Five9,4330000.0,,Contact_58ed89ff,13.0,,App Nexus; Microsoft Office 365; MediaMath; Microsoft Exchange Online; Salesforce; Woo Commerce; Stripe; Dstillery; Success Factors; Outlook; Amazon S3; Akamai; Wordpress; Google Analytics; Amazon Cloudfront; Google Tag Manager; MaxCDN; Shopify; Cloud Flare,,,1584.0,Company_552548c4,Tier 1: Ideal Fit,,,9824377096,America/New_York,Hospitality,36.0,,1919.0,Yes,,ABM,,,,,,Florida,,,,Travel and Hospitality,,183459.0,,Lodging & Resorts,28.0,,United States,Hospitality,2022-10-17 09:22:00,Company_c45d1d2d,2025-02-18 11:19,,2022,10,4,2022-10,Hospitality,Unknown,$1M-$10M,North America,19,1,0,0.0,"trial with higher level sales
",4998:14:45,,434.0,,2024-03-21 18:12:00,Referral Partner,3709:21:50,,,,,Sales Pipeline,11665797173,Not forecasted,Offline Sources,Associated_c45d1d2d,Deal_3d3dc242,,1.0,100000.0,,,0.0,Associated_c45d1d2d,False,,,2024-02-27 11:42,,,True,0.0,True,,Deal_7d15a2e7,100000.0,,100000.0,837:52:05,0.0,,2023-01-11 18:40:00,250:47:24,,2025-02-04 15:39,,Closed Lost,New,2023,1,1,2024.0,3.0,2023-01,Small,9824377096,0
,,50000000.0,,Contact_3bd0a894,0.0,,Youtube; Fullstory; Criteo; Trustpilot; Wordpress; Google Tag Manager; Bing Advertiser; Facebook Advertiser; Amazon S3; Apache; Google Maps; Debian; Taboola Ads; Recaptcha; Google Analytics; Google Apps,2022-08-14 07:46,,1.0,Company_3bd0a894,Tier 3: Long Tail,,,9366106652,America/New_York,,0.0,,2007.0,,,,,,,,,FL,,,,Travel and Hospitality,Former Customer,78.0,,,0.0,,United States,Hospitality,2022-08-12 03:53:00,Company_e6cc1244,2025-02-14 13:39,,2022,8,3,2022-08,Hospitality,Unknown,$50M-$100M,North America,16,1,0,1000.0,,,,128.0,,2022-12-20 11:09:00,SymTrain EE name,,,,,,Sales Pipeline,9817320093,Closed won,Offline Sources,Associated_e6cc1244,Deal_bb6f872e,,1.0,1000.0,,,1.0,Associated_e6cc1244,True,,,,,,False,1000.0,True,,Deal_88104ccd,1000.0,,1000.0,,0.0,,2022-08-14 07:46:00,,,2024-09-03 19:33,,Closed Won,New,2022,8,3,2022.0,12.0,2022-08,Medium,9366106652,1
,,1000000000.0,,Contact_18899d20,0.0,,Microsoft Exchange Online; Salesforce; App Nexus; Akamai DNS; Dstillery; Microsoft Office 365; MediaMath; Outlook; Akamai,,,168.0,Company_18899d20,,,,16082213790,America/Toronto,Hospitality,0.0,,1993.0,,,ABM,,,,,,Maryland,,,,Travel and Hospitality,Suspect,5000.0,,Lodging & Resorts,0.0,,United States,Hospitality,2022-08-12 03:53:00,Company_784513bd,2025-02-18 11:17,,2022,8,3,2022-08,Hospitality,Unknown,>$100M,North America,9,0,0,0.0,Dan confirmed to close lost.,,,128.0,,2022-12-20 11:29:00,Referral Partner,,,,,,Sales Pipeline,9817302613,Not forecasted,Offline Sources,Associated_784513bd,Deal_96aa4419,,1.0,120000.0,,,0.0,Associated_784513bd,False,,,,,,True,0.0,True,,Deal_19bbc0d9,120000.0,,120000.0,,0.0,,2022-08-14 07:46:00,,,2024-10-11 15:21,,Closed Lost,New,2022,8,3,2022.0,12.0,2022-08,Small,16082213790,0
,,1000000000.0,,Contact_18899d20,0.0,,Microsoft Exchange Online; Salesforce; App Nexus; Akamai DNS; Dstillery; Microsoft Office 365; MediaMath; Outlook; Akamai,,,168.0,Company_18899d20,,,,16082213790,America/Toronto,Hospitality,0.0,,1993.0,,,ABM,,,,,,Maryland,,,,Travel and Hospitality,Suspect,5000.0,,Lodging & Resorts,0.0,,United States,Hospitality,2022-08-12 03:53:00,Company_784513bd,2025-02-18 11:17,,2022,8,3,2022-08,Hospitality,Unknown,>$100M,North America,9,0,0,0.0,Review Pricing and Planning for SOE.  Send Update ...,,,128.0,,2022-12-20 11:43:00,SymTrain EE name,,,,,,Sales Pipeline,9816996372,Not forecasted,Offline Sources,Associated_784513bd,Deal_96aa4419,,1.0,120000.0,,,0.0,Associated_784513bd,False,,,,,,True,0.0,True,,Deal_91ab4076,120000.0,,120000.0,,0.0,,2022-08-14 07:46:00,,,2024-10-11 15:21,,Closed Lost,New,2022,8,3,2022.0,12.0,2022-08,Small,16082213790,0
,,1000000000.0,,,,,Salesforce; App Nexus; Google Tag Manager; Microsoft Office 365; MediaMath; Google Analytics; Wordpress; DoubleClick Ads; Optimizely; ShareThis; Woo Commerce,,,0.0,,Tier 1: Ideal Fit,,,9366091670,Europe/Paris,,,,1960.0,Yes,,ABM,,,,,,Île-de-France,,,,Travel and Hospitality,Suspect,280000.0,,,,,France,Hospitality,2022-08-12 03:53:00,Company_b9ef9615,2025-02-14 13:39,,2022,8,3,2022-08,Hospitality,Unknown,>$100M,Europe,11,1,0,,Louise did not see WFM as benefitting from SymTrai...,,,0.0,,2020-12-20 10:26:00,SymTrain EE name,,,,,,Sales Pipeline,9817334081,Not forecasted,,Associated_b9ef9615,Deal_bb6f872e,,1.0,,,,0.0,Associated_b9ef9615,False,,,,,,True,,True,,Deal_bff8d424,,,,,0.0,,2022-08-14 07:46:00,,,2024-12-18 16:47,,Closed Lost,New,2022,8,3,2020.0,12.0,2022-08,Unknown,9366091670,0
,,1000000000.0,,,,,Salesforce; App Nexus; Google Tag Manager; Microsoft Office 365; MediaMath; Google Analytics; Wordpress; DoubleClick Ads; Optimizely; ShareThis; Woo Commerce,,,0.0,,Tier 1: Ideal Fit,,,9366091670,Europe/Paris,,,,1960.0,Yes,,ABM,,,,,,Île-de-France,,,,Travel and Hospitality,Suspect,280000.0,,,,,France,Hospitality,2022-08-12 03:53:00,Company_b9ef9615,2025-02-14 13:39,,2022,8,3,2022-08,Hospitality,Unknown,>$100M,Europe,11,1,0,,"2 projects to focus on with collaborate team WFM, ...",,,128.0,,2022-12-20 11:53:00,Other,,,,,,Sales Pipeline,9816977201,Not forecasted,,Associated_b9ef9615,Deal_bb6f872e,,1.0,,,,0.0,Associated_b9ef9615,False,,,,,,True,,True,,Deal_a72655d3,,,,,0.0,,2022-08-14 07:46:00,,,2024-12-18 16:47,,Closed Lost,New,2022,8,3,2022.0,12.0,2022-08,Unknown,9366091670,0
,,10000000000.0,,Contact_0b67e0da,1.0,,Amazon S3; Akamai; Foresee; Google Analytics; Amazon Cloudfront; New Relic; Google Tag Manager; flashtalking; Braintree; Varnish; Salesforce Live Agent; Wordpress; DoubleClick Ads; MaxCDN; Omniture; ShareThis; AddThis; Cloud Flare; Woo Commerce; Monetate,,,2397.0,Company_5f08fbb2,Tier 1: Ideal Fit,,,22355412368,America/New_York,Hospitality,1.0,,1927.0,Yes,,ABM,,,,,,Guangdong,,,,Travel and Hospitality,Closed Lost,242535.0,,Lodging & Resorts,1.0,Verint,China,Hospitality,2022-08-12 03:53:00,Company_95fba57c,2025-02-14 13:39,,2022,8,3,2022-08,Hospitality,Unknown,>$100M,Asia,20,1,0,0.0,Training and coaching for their sales teams,4561:54:38,,190.0,,2025-02-05 12:02:00,SymTrain EE name,,,,,,Sales Pipeline,21070059926,Not forecasted,Offline Sources,Associated_95fba57c,Deal_3d3dc242,,1.0,30000.0,,,0.0,Associated_95fba57c,False,,,2024-10-31 13:14,,,True,0.0,True,,Deal_b753ff90,30000.0,,30000.0,,0.0,00:19:55,2024-07-30 10:47:00,,,2025-02-05 12:03,,Closed Lost,New,2024,7,3,2025.0,2.0,2024-07,Small,22355412368,0
