Create date,Stage Date - Project Launch,Associated Contact,Target Launch Date,Kickoff Call,Close date,Pipeline,Stage Date - Project Initiation,Ticket status,Stage Date - Execution,Time to first agent email reply (HH:mm:ss),Associated Company,Stage Date - Closure Phase,Associated Company (Primary),Response time (HH:mm:ss),Ticket ID,Time to close (HH:mm:ss),Associated Deal,Library index approved,Training: General Overview,Latest Milestone,Training: Deployment/User Management Training,Requirements for the Trial,Training: Sym Building 101,Last modified date,Trial End Date,Training: Sym Building 201,Stage Date - Converted Won,Latest Milestone Update Date,Ticket name,Trial Overview,Trial Start Date,1st Syms presented for review,Project Launch Day,Training: Reporting,Construction of 1st Sym begun,duration
2024-05-22 20:52:00,2024-06-21,Contact_e3a6c1ed,2023-09-08,2024-05-31,2024-09-20 10:56:00,Project Success Plan,2024-05-22,Converted-Won,2024-06-21,6 days 12:50:48,Company_dbe52e71,2024-09-20,Company_dbe52e71,6 days 12:50:48,2753363511,120 days 14:03:09,Deal_bce82aa5,Yes,2023-11-29,Library Index Approved,2024-06-20,Coaching; Onboarding,2024-09-23,2025-02-14 13:39:00,2024-08-31,2023-11-17,2024-09-20,2023-11-24,Ticket_915627b9,This program will be launched using Symtrain's Intelligent Coaching feature for 150 agents,2024-05-01,2024-06-14,2024-06-21,2024-09-23,2024-06-11,267.0
2024-05-22 11:25:00,2024-09-13,Contact_b892afe8,2023-09-08,2024-05-23,2024-11-22 10:40:00,Project Success Plan,2024-05-22,Converted-Won,2024-07-19,0 days 00:02:44,Company_dbe52e71,2024-11-22,Company_dbe52e71,0 days 00:02:44,2751936415,184 days 00:15:52,Deal_bce82aa5,Yes,2024-07-25,Library Index Approved,2024-09-04,Onboarding,2024-08-01,2025-02-14 13:39:00,2024-08-31,2024-07-26,2025-01-03,2023-11-24,Ticket_770bb5d9,This program will utilize Symtrain's chat feature for new agents to help them improve their metrics.,2024-05-23,2024-07-11,2024-09-11,2024-07-25,2024-07-15,268.0
2024-08-23 11:27:00,2023-12-14,Contact_2315b87d,2023-09-08,2024-08-13,2024-08-30 11:04:00,Project Success Plan,2024-08-23,Lost,2024-07-19,0 days 00:02:44,Company_c2ca937b,2024-09-20,Company_c873cf11,0 days 00:02:44,3143704922,6 days 23:36:35,Deal_48df1ecc,Yes,2023-11-29,Library Index Approved,2024-09-23,Onboarding,2024-09-23,2025-02-14 13:39:00,2024-10-01,2023-11-17,2025-01-14,2023-11-24,Ticket_c873cf11,30 days ,2024-09-01,2023-11-03,2023-12-13,2024-09-23,2023-10-02,175.0
2024-06-09 22:48:00,2024-08-23,Contact_2d70a7b7,2023-09-08,2024-06-13,2024-09-20 10:27:00,Project Success Plan,2024-06-09,Converted-Won,2024-08-02,50 days 00:31:29,Company_a9dac8f8,2024-09-20,Company_dbe52e71,50 days 00:31:29,2816667157,102 days 11:39:23,Deal_c146cca5,Yes,2024-06-27,Library Index Approved,2024-07-24,Coaching,2024-07-10,2024-12-16 13:55:00,2024-08-02,2024-08-14,2024-11-08,2023-11-24,Ticket_a95b3725,With the help of Symtrain will be focusing on improving metrics.,2024-06-02,2024-07-25,2024-08-22,2024-07-24,2024-06-27,189.0
2023-11-06 10:51:00,2023-12-14,Contact_d6418937,2023-09-08,2023-11-27,2024-05-17 11:12:00,Project Success Plan,2024-04-01,Lost,2024-07-19,0 days 00:02:44,Company_a41393e8,2024-05-17,Company_a41393e8,0 days 00:02:44,2058442921,192 days 23:21:10,Deal_afcc171e,Yes,2023-11-29,Library Index Approved,2023-12-13,Coaching; Onboarding,2023-12-18,2025-02-14 13:39:00,2024-12-31,2023-12-18,2025-01-14,2023-11-24,Ticket_d4f4ef88,With the help of Symtrain will be focusing on improving metrics.,2024-04-15,2023-11-24,2023-12-13,2023-12-25,2023-11-21,466.0
2023-11-08 12:59:00,2023-12-14,Contact_f1a2b934,2023-11-24,2023-11-16,2024-02-22 09:35:00,Project Success Plan,2024-04-01,Lost,2024-07-19,96 days 03:55:38,Company_a19696c5,2024-02-22,Company_a19696c5,96 days 03:55:38,2076389147,105 days 20:36:18,Deal_00ef15ee,Yes,2023-11-29,Library Index Approved,2024-09-23,Onboarding,2024-09-23,2025-02-14 13:39:00,2024-12-31,2023-11-17,2025-01-14,2023-11-24,Ticket_ecc1383a,Trialing BPO partnership with  Coaching and Onboarding,2024-04-15,2023-11-03,2023-12-13,2024-09-23,2023-11-15,464.0
2023-06-12 13:59:00,2023-12-14,Contact_f5bd34f2,2023-09-02,2023-07-18,2024-01-05 12:36:00,Project Success Plan,2024-04-01,Converted-Won,2024-07-19,51 days 22:56:34,Company_cce6af0b,2024-09-20,Company_cce6af0b,51 days 22:56:34,1877074317,206 days 23:37:54,Deal_48df1ecc,Yes,2023-08-17,Kickoff Call,2023-08-24,Onboarding,2023-08-22,2025-02-14 13:39:00,2024-12-31,2023-11-17,2024-01-05,2023-11-24,Ticket_1ad85413,New hire training for credit serve - Launch Aug 30,2024-04-15,2023-11-03,2023-08-17,2023-08-24,2023-10-02,612.0
2023-09-11 16:37:00,2023-12-14,Contact_4a7eb8bd,2023-10-23,2023-10-12,2024-03-19 10:12:00,Project Success Plan,2024-04-01,Closure Phase,2024-07-19,9 days 17:45:09,Company_6e310aa8,2024-03-19,Company_6e310aa8,9 days 17:45:09,1899348851,189 days 17:35:09,Deal_48df1ecc,Yes,2023-10-10,Library Index Approved,2023-10-17,Onboarding,2023-10-17,2025-02-14 13:39:00,2024-12-31,2023-11-17,2025-01-14,2023-11-24,Ticket_73af10a2,New Hire training for 90 days.,2024-04-15,2023-11-03,2023-12-12,2023-10-17,2023-10-13,521.0
2024-11-21 15:50:00,2023-12-14,Contact_e0a67278,2023-09-08,2024-11-27,2025-02-06 09:02:00,Project Success Plan,2024-12-06,Converted-Won,2024-12-13,0 days 18:34:41,Company_14a47863,2024-09-20,Company_14a47863,0 days 18:34:41,16736375605,76 days 17:12:27,Deal_875c044f,Yes,2023-11-29,Library Index Approved,2024-09-23,Onboarding,2024-09-23,2025-02-14 13:39:00,2024-12-31,2023-11-17,2025-02-06,2023-11-24,Ticket_7fefe666,With the help of Symtrain will be focusing on improving metrics.,2024-04-15,2023-11-03,2023-12-13,2024-09-23,2024-12-10,84.0
2025-02-06 09:00:00,2023-12-14,Contact_344ddf26,2023-09-08,2024-08-13,2025-02-06 09:02:00,Project Success Plan,2025-02-06,Converted-Won,2024-07-19,0 days 00:02:44,Company_14a47863,2024-09-20,Company_14a47863,0 days 00:02:44,20089104510,0 days 00:02:08,Deal_875c044f,Yes,2023-11-29,Library Index Approved,2024-09-23,Onboarding,2024-09-23,2025-02-14 13:39:00,2025-02-28,2023-11-17,2025-02-06,2023-11-24,Ticket_af668864,"This trial is part of the current contract with Pessoalize. As it's a different LOB than Pic Pay, here is the 2nd ticket for the same company.",2025-01-01,2023-11-03,2023-12-13,2024-09-23,2023-10-02,8.0
