Weighted amount,Deal Description,"Cumulative time in ""BANT Deal. Pain ID'ed (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Opportunity (Sales Pipeline)"" (HH:mm:ss)",Days to close,Deal Score,Close Date,Deal source attribution 2,"Cumulative time in ""In Trial - Trial in Progress (Sales Pipeline)"" (HH:mm:ss)",Contract Start Date,"Cumulative time in ""Partner Referrals  (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Closed Lost (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Deep Dive. PSP Drafted (Sales Pipeline)"" (HH:mm:ss)",Pipeline,Record ID,Forecast category,Original Traffic Source,Associated Company,Deal owner,Annual contract value,Is Closed (numeric),Amount in company currency,Annual recurring revenue,Monthly recurring revenue,Deal probability,Associated Company (Primary),Is Closed Won,Forecast probability,Contract End Date,Last Activity Date,Contract Term (Months),Trial Start date,Is closed lost,Weighted amount in company currency,Is Deal Closed?,Trial End Date,Deal Name,Amount,"Cumulative time in ""Closed Trial (Sales Pipeline)"" (HH:mm:ss)",Forecast amount,"Cumulative time in ""Negotiation (Sales Pipeline)"" (HH:mm:ss)",Is Open (numeric),"Cumulative time in ""Renewals  (Sales Pipeline)"" (HH:mm:ss)",Create Date,"Cumulative time in ""Contract Sent (Sales Pipeline)"" (HH:mm:ss)",Total contract value,Last Modified Date,"Cumulative time in ""Closed Won (Sales Pipeline)"" (HH:mm:ss)",Deal Stage,Deal Type
10000,Sales Team,,,148,7,4/23/2025 10:50,Event,,,,,,Sales Pipeline,29547238775,Not forecasted,Offline Sources,Associated_d1384a48,Deal_066bf106,,0,50000,,,0.2,Associated_d1384a48,FALSE,,,12/3/2024 10:36,,,FALSE,10000,FALSE,,Deal_e38a3379,50000,,50000,,1,,11/25/2024 10:51,,,12/11/2024 4:44,,Opportunity,New
20000,Very similar use case to Citibank,,0:00:03,148,8,4/23/2025 9:21,Other,,,338:32:38,,,Sales Pipeline,29547220914,Not forecasted,Offline Sources,Associated_4a11abd4,Deal_066bf106,,0,100000,,,0.2,Associated_4a11abd4,FALSE,,,12/13/2024 12:22,,,FALSE,20000,FALSE,,Deal_db9756cc,100000,,100000,,1,,11/25/2024 9:22,,,12/24/2024 23:18,,Opportunity,New
6000,Recruiting / Onboarding,,,106,8,3/12/2025 9:12,Event,,,0:07:23,,,Sales Pipeline,29539001767,Pipeline,Offline Sources,Associated_47086e42,Deal_066bf106,,0,30000,,,0.2,Associated_47086e42,FALSE,,,1/9/2025 10:05,,,FALSE,6000,FALSE,,Deal_47086e42,30000,,30000,,1,,11/25/2024 9:13,,,1/22/2025 17:29,,Opportunity,New
18000,RealPage,,,113,9,3/19/2025 9:04,Other,,,,,,Sales Pipeline,29539000838,Pipeline,Offline Sources,Associated_ae599248,Deal_066bf106,,0,90000,,,0.2,Associated_ae599248,FALSE,,,12/19/2024 13:23,,,FALSE,18000,FALSE,,Deal_4916163e,90000,,90000,,1,,11/25/2024 9:07,,,12/31/2024 12:46,,Opportunity,New
1820,Southwest Federal Credit Union,,529:22:41,95,6,2/28/2025 12:28,Event,,,0:00:20,,,Sales Pipeline,29538999969,Best case,Offline Sources,Associated_6b9bc1f4,Deal_066bf106,,0,9100,,,0.2,Associated_6b9bc1f4,FALSE,,,12/23/2024 15:30,,,FALSE,1820,FALSE,,Deal_8a268640,9100,,9100,,1,,11/25/2024 9:02,,,1/16/2025 14:08,,Deep Dive. PSP Drafted,New
10000,Win from Zenerate,,,149,5,4/24/2025 8:57,Event,,,0:00:55,,,Sales Pipeline,29545199948,Not forecasted,Offline Sources,Associated_276a2bcb,Deal_066bf106,,0,50000,,,0.2,Associated_276a2bcb,FALSE,,,12/17/2024 16:43,,,FALSE,10000,FALSE,,Deal_bf084e0d,50000,,50000,,1,,11/25/2024 8:59,,,12/25/2024 3:29,,Opportunity,New
3000,Paid Trail,,0:01:29,106,19,3/12/2025 8:54,Event,,,0:00:23,,,Sales Pipeline,29545199489,Pipeline,Offline Sources,Associated_a514ea07,Deal_066bf106,,0,30000,,,0.1,Associated_a514ea07,FALSE,,,,,,FALSE,3000,FALSE,,Deal_a514ea07,30000,,30000,,1,,11/25/2024 8:56,,,1/7/2025 20:38,,BANT Deal. Pain ID'ed,New
0,Use Case: client is looking to upgrade training wi...,,,149,8,4/19/2025 13:16,Referral Partner,,,,,,Sales Pipeline,29386780598,Not forecasted,Direct Traffic,Associated_ef811650,,,0,0,,,0.05,Associated_ef811650,FALSE,,,2/19/2025 17:00,,,FALSE,0,FALSE,,Deal_67bf0eb4,0,,0,,1,,11/20/2024 12:17,,,2/19/2025 17:09,,Partner Referrals ,New
0,Use Case: Client looking to optimize training,,,149,8,4/19/2025 13:15,Referral Partner,,,,,,Sales Pipeline,29386780450,Not forecasted,Direct Traffic,Associated_ef811650,,,0,0,,,0.05,Associated_ef811650,FALSE,,,2/19/2025 17:00,,,FALSE,0,FALSE,,Deal_75bfa1cf,0,,0,,1,,11/20/2024 12:16,,,2/19/2025 17:09,,Partner Referrals ,New
0,Sharath will be presenting solution directly to C-...,,,149,8,4/19/2025 13:13,Referral Partner,,,,,,Sales Pipeline,29393304473,Not forecasted,Direct Traffic,Associated_ef811650,,,0,0,,,0.05,Associated_ef811650,FALSE,,,2/19/2025 17:00,,,FALSE,0,FALSE,,Deal_0170cd3d,0,,0,,1,,11/20/2024 12:14,,,2/19/2025 17:09,,Partner Referrals ,New
